x1,x2,f1,f2,g1
0.45,0.8166666666666667,0.07657235828431233,-0.04102658511886306,-0.22468479026880175
0.5833333333333333,0.2833333333333333,-0.1162068762097476,-0.16785045575769056,-0.07739378733132393
0.48333333333333334,0.31666666666666665,-0.0003820619882363707,-0.2342892130846456,-0.13255428778242942
0.21666666666666667,0.5833333333333333,-0.01237841978192189,0.08123736138952267,-0.06642988811073192
0.31666666666666665,0.48333333333333334,0.06316620622118156,-0.003413798095571824,-0.20883356440018672
0.7166666666666666,0.4166666666666667,0.023253992402075457,-0.08408839227988937,-0.08957248005799853
0.6166666666666667,0.7833333333333333,0.11424722925310282,-0.15160940973707124,-0.2320920486898326
0.15,0.08333333333333334,0.10620736768927252,-0.05285790716557939,-0.13659765266368892
0.8166666666666667,0.45,0.115183357267759,-0.05786439099352517,-0.07516133459685201
0.7833333333333333,0.75,0.15566258385529866,-0.4355190912150082,-0.13961281262807015
0.6499999999999999,0.55,0.16146775000077265,-0.18060121461719134,-0.18027382619972251
0.55,0.05,0.07150247856763298,-0.21061606955289094,-0.10520188416648732
0.18333333333333335,0.9833333333333334,0.07683004913869114,0.06538892662814423,0.08896822046984809
0.8833333333333333,0.5166666666666666,0.16726224615334492,-0.12613315234691466,-0.06251682630147043
0.75,0.6499999999999999,0.18808937813855725,-0.29360902155037516,-0.16960956564715543
0.25,0.18333333333333335,0.09357916963907664,-0.24290245058483576,-0.2170907713405976
0.5166666666666666,0.21666666666666667,-0.03819637293598782,-0.2903763003396099,-0.11089742068590455
0.9166666666666667,0.9166666666666667,0.12863139233508988,-0.46682874429611654,0.021664943337876802
0.35,0.25,0.0818041652825506,-0.32599520015248507,-0.20431000969285892
0.2833333333333333,0.8833333333333333,0.06351733929958137,0.018687810193471877,-0.03241439963315962
0.016666666666666666,0.6833333333333333,-0.10834844794740037,0.12934397206438356,0.11399257435104238
0.05,0.35,-0.0680053362372674,0.11121911487804992,-0.05215263011473209
0.08333333333333334,0.016666666666666666,0.117212879057987,0.053041754651177775,-0.04625465656107863
0.11666666666666667,0.8500000000000001,0.005484678031716983,0.0882829651239717,0.09942127999667053
0.3833333333333333,0.7166666666666666,0.0736555258958485,-0.013340132411037875,-0.19248345453542273
0.8500000000000001,0.15,0.060879034399027546,0.08939988209274613,0.012728882813550807
0.9833333333333334,0.6166666666666667,0.16240425691021057,-0.2834802700805924,-0.008234470304868152
0.95,0.3833333333333333,0.13260758736006847,0.06552834410418523,0.013268142484559209
0.6833333333333333,0.11666666666666667,-0.02269575079337674,-0.04620914847533117,-0.058602422068720184
0.4166666666666667,0.95,0.0925679762843805,-0.010851157143784401,-0.11146258715471455
